날짜,애플,마이크로소프트,아마존,구글 A,구글 C,메타,테슬라,엔비디아,코스트코,넷플릭스,페이팔,인텔,시스코,컴캐스트,펩시코,암젠,허니웰 인터내셔널,스타벅스,몬델리즈,마이크론,브로드컴,어도비,텍사스 인스트루먼트,AMD,어플라이드 머티리얼즈,S&P 500 ETF,QQQ ETF
2026-02-26,32345100,34405900,47756800,36431200,22380000,10637700,53602500,360807900,1804400,85642500,48091800,71457500,19608000,25478000,7219300,2589400,3040000,6246100,10716600,35433500,33025300,6208100,6041500,35020500,7717100,71671000,96178900
2026-02-27,72366500,51367200,57422800,44640600,33389200,15703000,56890100,311636500,3935000,200767000,23641200,79327200,27498000,34865700,10585200,3441000,3888100,7286900,12554900,28653900,28004200,5098200,8275100,31312400,9041400,83308900,68125200
2026-03-02,41827900,35474900,46001000,34790200,21854400,9816100,55088300,209095300,1986900,79915400,17355300,60705100,18540400,22490300,7264000,2837900,3634700,7250600,6523100,30049200,20567200,3486900,6811300,34120200,5802100,87477200,75264600
2026-03-03,38568900,38199200,43184900,35497000,20361100,12263800,62617300,178099400,1947100,59149000,22406400,83971000,17521100,27217400,6718100,2710400,6367200,7197200,9949200,39010900,20826200,6206600,7496500,37785700,7982000,105003100,97015500
2026-03-04,39803100,35808000,54731100,29536200,20015600,10810100,68305500,177731200,1806600,52604300,14612800,96628100,20388100,28509100,6855400,2028300,4774800,6233400,11608700,32644900,34895800,4329200,5451500,40912600,5980400,79182200,70943900
2026-03-05,49658600,39001300,60943400,35752300,22643900,13341400,51925900,198779700,2766000,53403000,18317700,78229400,26844800,24202700,7133700,2868400,4308200,9608100,13089200,29960100,57076600,5822300,8051800,36000700,5899700,106606500,89602400
2026-03-06,41120000,31123900,51152700,25576900,17598000,13159400,64054600,189021900,2708900,41196300,15900100,74698300,20621200,23119100,5937900,2443000,3857900,10826700,9532600,34458800,39152200,4802300,7220500,33913800,8655200,100687000,86302300
2026-03-09,38218500,30131900,54642900,29312100,19632700,13489700,67018900,177213600,2348200,48589000,18908300,82937400,32855900,45897400,6416000,2719900,3405100,9376800,10735800,35547200,40605800,4728400,7597500,38877200,9504100,102667700,93068200
2026-03-10,30590800,31706400,35678800,23239700,14386400,9859300,59258700,179118500,1613400,41027200,17575900,85233300,24836000,21238700,5341300,2284500,5089100,8005800,7716800,33745400,29531700,4591600,5929200,29139200,6121100,81505300,64078900
2026-03-11,26218900,25512100,34199300,24125700,13376700,8977200,62559900,145280400,1260500,33962900,13794100,72480600,14719900,23701900,4359700,2299200,3241200,8815800,10296500,30191400,20104100,4862400,4995200,23076400,4517200,68441700,60114800
2026-03-12,40794000,27263900,44349500,24928300,15610200,11617500,60973800,155762700,1669200,34206900,15293100,85110200,19969500,23947600,6165600,1990500,4592800,12248300,10232100,31720900,21982700,10895000,8156800,28886900,5978200,108882200,71836600
2026-03-13,36930000,26848000,35662100,23693100,16857500,18957600,58504100,160988400,1469700,29876700,13962500,68386200,19080400,20252800,4676800,1500300,3117500,9400400,9740600,39261000,34725000,17406400,3688400,27561900,5332200,97200200,63145500
